global_step=79200, episodic_return=[-1057.2378]
global_step=79400, episodic_return=[-898.2391]
global_step=79600, episodic_return=[-1400.2266]
global_step=79800, episodic_return=[-1342.0544]
SPS: 254
global_step=80000, episodic_return=[-1252.8557]
global_step=80200, episodic_return=[-1337.6353]
global_step=80400, episodic_return=[-1036.6665]
global_step=80600, episodic_return=[-1051.2075]
global_step=80800, episodic_return=[-1233.1803]
global_step=81000, episodic_return=[-903.3808]
global_step=81200, episodic_return=[-1181.0677]
global_step=81400, episodic_return=[-1167.903]
global_step=81600, episodic_return=[-1045.3756]
global_step=81800, episodic_return=[-1226.1217]
SPS: 254
global_step=82000, episodic_return=[-1139.5408]
global_step=82200, episodic_return=[-1150.5105]
global_step=82400, episodic_return=[-1116.3866]
global_step=82600, episodic_return=[-1068.1251]
global_step=82800, episodic_return=[-1002.1498]
global_step=83000, episodic_return=[-1395.8955]
global_step=83200, episodic_return=[-1019.8649]
global_step=83400, episodic_return=[-1195.2017]
global_step=83600, episodic_return=[-1135.4163]
global_step=83800, episodic_return=[-897.37286]
SPS: 254
global_step=84000, episodic_return=[-1026.4485]
global_step=84200, episodic_return=[-1180.312]
global_step=84400, episodic_return=[-1173.9037]
global_step=84600, episodic_return=[-1170.1033]
global_step=84800, episodic_return=[-1249.5992]
global_step=85000, episodic_return=[-1035.0896]
global_step=85200, episodic_return=[-1118.9265]
global_step=85400, episodic_return=[-1041.769]
global_step=85600, episodic_return=[-1174.4664]
global_step=85800, episodic_return=[-1072.1174]
global_step=86000, episodic_return=[-1047.9813]
SPS: 254
global_step=86200, episodic_return=[-1152.1682]
global_step=86400, episodic_return=[-1006.954]
global_step=86600, episodic_return=[-910.79596]
global_step=86800, episodic_return=[-1059.259]
global_step=87000, episodic_return=[-1091.7428]
global_step=87200, episodic_return=[-1385.6271]
global_step=87400, episodic_return=[-1038.709]
global_step=87600, episodic_return=[-1182.3848]
global_step=87800, episodic_return=[-1088.2057]
global_step=88000, episodic_return=[-1186.9109]
SPS: 255
global_step=88200, episodic_return=[-1126.2257]
global_step=88400, episodic_return=[-1013.46]
global_step=88600, episodic_return=[-1228.9962]
global_step=88800, episodic_return=[-1243.1814]
global_step=89000, episodic_return=[-1133.3893]
global_step=89200, episodic_return=[-1250.7504]
global_step=89400, episodic_return=[-1106.3296]
global_step=89600, episodic_return=[-908.9299]
global_step=89800, episodic_return=[-1040.0411]
global_step=90000, episodic_return=[-1146.2357]
SPS: 255
global_step=90200, episodic_return=[-1453.7284]
global_step=90400, episodic_return=[-1005.6516]
global_step=90600, episodic_return=[-1062.1731]
global_step=90800, episodic_return=[-1366.516]
global_step=91000, episodic_return=[-1198.6049]
global_step=91200, episodic_return=[-1090.2125]
global_step=91400, episodic_return=[-1012.0312]
