
global_step=200, episodic_return: -861.6904907226562
global_step=39000, episodic_return: -1034.279541015625
global_step=39200, episodic_return: -1060.7928466796875
global_step=39400, episodic_return: -1063.0777587890625
global_step=39600, episodic_return: -1121.1922607421875
global_step=39800, episodic_return: -1134.5086669921875
global_step=40000, episodic_return: -1078.996826171875
global_step=40200, episodic_return: -1229.2584228515625
global_step=40400, episodic_return: -1023.3642578125
global_step=40600, episodic_return: -1085.421630859375
global_step=40800, episodic_return: -1062.3704833984375
SPS: 66
global_step=41000, episodic_return: -973.1973876953125
global_step=41200, episodic_return: -1255.79541015625
global_step=41400, episodic_return: -1058.15283203125
global_step=41600, episodic_return: -1274.60498046875
global_step=41800, episodic_return: -1570.0924072265625
global_step=42000, episodic_return: -1316.7830810546875
global_step=42200, episodic_return: -1015.643310546875
global_step=42400, episodic_return: -904.41259765625
global_step=42600, episodic_return: -1045.7257080078125
global_step=42800, episodic_return: -957.0657958984375
global_step=43000, episodic_return: -1052.2100830078125
SPS: 65
global_step=43200, episodic_return: -886.6071166992188
global_step=43400, episodic_return: -910.2780151367188
global_step=43600, episodic_return: -1092.514892578125
global_step=43800, episodic_return: -1085.0556640625
global_step=44000, episodic_return: -1371.013427734375
global_step=44200, episodic_return: -1358.400146484375
global_step=44400, episodic_return: -1045.931396484375
global_step=44600, episodic_return: -1005.665771484375
global_step=44800, episodic_return: -1051.3270263671875
global_step=45000, episodic_return: -1111.1878662109375
SPS: 65
global_step=45200, episodic_return: -1066.560546875
global_step=45400, episodic_return: -1127.17041015625
global_step=45600, episodic_return: -984.963623046875
global_step=45800, episodic_return: -1056.481689453125
global_step=46000, episodic_return: -1435.4051513671875
global_step=46200, episodic_return: -1001.2333374023438
global_step=46400, episodic_return: -1039.420166015625
global_step=46600, episodic_return: -1068.30810546875
global_step=46800, episodic_return: -1336.7166748046875
global_step=47000, episodic_return: -1026.3134765625
SPS: 65
global_step=47200, episodic_return: -976.0787353515625
global_step=47400, episodic_return: -1052.016845703125
global_step=47600, episodic_return: -1202.7247314453125
global_step=47800, episodic_return: -1207.5203857421875
global_step=48000, episodic_return: -1052.65625
global_step=48200, episodic_return: -1193.63134765625
