global_step=14400, episodic_return: -1025.133056640625
global_step=14600, episodic_return: -905.9186401367188
global_step=14800, episodic_return: -1048.7490234375
global_step=15000, episodic_return: -919.8489379882812
global_step=15200, episodic_return: -1588.7855224609375
global_step=15400, episodic_return: -1000.5430908203125
global_step=15600, episodic_return: -1416.5947265625
global_step=15800, episodic_return: -1189.9002685546875
global_step=16000, episodic_return: -930.4623413085938
global_step=16200, episodic_return: -887.5112915039062
SPS: 99
global_step=16400, episodic_return: -1025.504638671875
global_step=16600, episodic_return: -921.2025756835938
global_step=16800, episodic_return: -964.4461669921875
global_step=17000, episodic_return: -1343.60400390625
global_step=17200, episodic_return: -1058.0657958984375
global_step=17400, episodic_return: -968.2594604492188
global_step=17600, episodic_return: -873.51708984375
global_step=17800, episodic_return: -1692.57861328125
global_step=18000, episodic_return: -1682.3935546875
global_step=18200, episodic_return: -1283.3782958984375
global_step=18400, episodic_return: -1185.4986572265625
SPS: 99
global_step=18600, episodic_return: -1658.835205078125
global_step=18800, episodic_return: -1739.106201171875
global_step=19000, episodic_return: -1303.239013671875
global_step=19200, episodic_return: -1436.629150390625
global_step=19400, episodic_return: -905.1049194335938
global_step=19600, episodic_return: -1720.7958984375
global_step=19800, episodic_return: -1030.69384765625
global_step=20000, episodic_return: -1201.231201171875
global_step=20200, episodic_return: -776.8086547851562
global_step=20400, episodic_return: -1305.37890625
SPS: 99
global_step=20600, episodic_return: -1481.8056640625
global_step=20800, episodic_return: -853.2456665039062
global_step=21000, episodic_return: -1072.023193359375
global_step=21200, episodic_return: -1577.0655517578125
global_step=21400, episodic_return: -959.20361328125
global_step=21600, episodic_return: -964.1360473632812
global_step=21800, episodic_return: -1539.1021728515625
global_step=22000, episodic_return: -999.3182983398438
global_step=22200, episodic_return: -1406.522216796875
global_step=22400, episodic_return: -1260.0738525390625
SPS: 100
global_step=22600, episodic_return: -1408.7523193359375
global_step=22800, episodic_return: -1078.87255859375
global_step=23000, episodic_return: -1806.00048828125
global_step=23200, episodic_return: -1318.1287841796875
global_step=23400, episodic_return: -861.17529296875
global_step=23600, episodic_return: -1502.5089111328125
global_step=23800, episodic_return: -1012.1173706054688
global_step=24000, episodic_return: -1572.6956787109375
global_step=24200, episodic_return: -1494.2935791015625
global_step=24400, episodic_return: -1491.6898193359375
SPS: 100
global_step=24600, episodic_return: -984.9002685546875
global_step=24800, episodic_return: -1105.3515625
global_step=25000, episodic_return: -1021.2113037109375
global_step=25200, episodic_return: -1054.652587890625
global_step=25400, episodic_return: -1162.303466796875
global_step=25600, episodic_return: -985.427001953125
global_step=25800, episodic_return: -1550.22265625
global_step=26000, episodic_return: -1074.9200439453125
global_step=26200, episodic_return: -1072.9603271484375
global_step=26400, episodic_return: -1123.9783935546875
global_step=26600, episodic_return: -1118.585693359375
SPS: 100
global_step=26800, episodic_return: -1404.90869140625
global_step=27000, episodic_return: -1132.5489501953125
global_step=27200, episodic_return: -1110.384521484375
global_step=27400, episodic_return: -1072.1697998046875
global_step=27600, episodic_return: -1191.5145263671875
global_step=27800, episodic_return: -1087.2818603515625
global_step=28000, episodic_return: -1189.1082763671875
global_step=28200, episodic_return: -1148.3406982421875
global_step=28400, episodic_return: -1033.6099853515625
global_step=28600, episodic_return: -1722.940673828125
SPS: 100
global_step=28800, episodic_return: -1118.75732421875
global_step=29000, episodic_return: -1142.8712158203125
global_step=29200, episodic_return: -1113.7274169921875
global_step=29400, episodic_return: -1516.4091796875
global_step=29600, episodic_return: -1070.3153076171875
global_step=29800, episodic_return: -1074.5767822265625
global_step=30000, episodic_return: -1451.1864013671875
global_step=30200, episodic_return: -1012.1676025390625
global_step=30400, episodic_return: -1083.1461181640625
global_step=30600, episodic_return: -1053.2813720703125
SPS: 100
global_step=30800, episodic_return: -1390.4031982421875
global_step=31000, episodic_return: -1206.3251953125
global_step=31200, episodic_return: -1189.8238525390625
global_step=31400, episodic_return: -1067.6961669921875
global_step=31600, episodic_return: -1072.380126953125
global_step=31800, episodic_return: -1061.5009765625
global_step=32000, episodic_return: -1391.3985595703125
global_step=32200, episodic_return: -1073.1553955078125
global_step=32400, episodic_return: -1433.767578125
global_step=32600, episodic_return: -1184.3553466796875
SPS: 100
global_step=32800, episodic_return: -1129.93798828125
global_step=33000, episodic_return: -1459.9293212890625
global_step=33200, episodic_return: -944.4237670898438
global_step=33400, episodic_return: -1116.926025390625
global_step=33600, episodic_return: -1102.681640625
global_step=33800, episodic_return: -1129.6221923828125
global_step=34000, episodic_return: -1128.771484375
global_step=34200, episodic_return: -901.2869262695312
global_step=34400, episodic_return: -1035.3165283203125
global_step=34600, episodic_return: -945.986572265625
global_step=34800, episodic_return: -881.2857055664062
SPS: 100
global_step=35000, episodic_return: -1097.36474609375
global_step=35200, episodic_return: -994.7786254882812
global_step=35400, episodic_return: -853.9412231445312
global_step=35600, episodic_return: -1200.463623046875
global_step=35800, episodic_return: -1092.20361328125
global_step=36000, episodic_return: -1037.77099609375
global_step=36200, episodic_return: -1184.0244140625
global_step=36400, episodic_return: -1071.03466796875
global_step=36600, episodic_return: -1315.2213134765625
global_step=36800, episodic_return: -1205.4822998046875
SPS: 100
global_step=37000, episodic_return: -1063.3092041015625
global_step=37200, episodic_return: -1047.0263671875
global_step=37400, episodic_return: -1103.1474609375
global_step=37600, episodic_return: -909.9237060546875
global_step=37800, episodic_return: -1260.2337646484375
global_step=38000, episodic_return: -1041.058349609375
global_step=38200, episodic_return: -1059.677001953125
global_step=38400, episodic_return: -1052.287109375
global_step=38600, episodic_return: -1115.684814453125
global_step=38800, episodic_return: -1138.4779052734375
SPS: 100
global_step=39000, episodic_return: -1019.4615478515625
global_step=39200, episodic_return: -1085.9852294921875
global_step=39400, episodic_return: -917.4132690429688
global_step=39600, episodic_return: -1123.2657470703125
global_step=39800, episodic_return: -1131.39892578125
global_step=40000, episodic_return: -1116.190673828125
global_step=40200, episodic_return: -1308.2791748046875
global_step=40400, episodic_return: -955.2505493164062
global_step=40600, episodic_return: -1023.565185546875
global_step=40800, episodic_return: -1039.0771484375
SPS: 100
global_step=41000, episodic_return: -1047.3790283203125
global_step=41200, episodic_return: -1374.2177734375
global_step=41400, episodic_return: -911.81689453125
global_step=41600, episodic_return: -1299.5103759765625
global_step=41800, episodic_return: -1623.03857421875
global_step=42000, episodic_return: -1325.956298828125
global_step=42200, episodic_return: -1018.2222290039062
global_step=42400, episodic_return: -903.0454711914062
global_step=42600, episodic_return: -1015.1216430664062
global_step=42800, episodic_return: -1005.8706665039062
global_step=43000, episodic_return: -1041.4315185546875
SPS: 100
global_step=43200, episodic_return: -1020.8992919921875
global_step=43400, episodic_return: -909.641357421875
global_step=43600, episodic_return: -1080.909912109375
global_step=43800, episodic_return: -1176.422607421875
global_step=44000, episodic_return: -1437.968017578125
global_step=44200, episodic_return: -1475.138671875
global_step=44400, episodic_return: -1033.9466552734375
global_step=44600, episodic_return: -1001.2120971679688
global_step=44800, episodic_return: -1008.9885864257812
global_step=45000, episodic_return: -1221.0682373046875
SPS: 100
global_step=45200, episodic_return: -1146.115966796875
global_step=45400, episodic_return: -1106.692626953125
global_step=45600, episodic_return: -1018.6820068359375
global_step=45800, episodic_return: -1044.73828125
global_step=46000, episodic_return: -1479.2342529296875
global_step=46200, episodic_return: -856.523681640625
global_step=46400, episodic_return: -1031.2373046875
global_step=46600, episodic_return: -1070.08056640625
global_step=46800, episodic_return: -1471.51416015625
global_step=47000, episodic_return: -1008.6046142578125
SPS: 101
global_step=47200, episodic_return: -1073.865234375
global_step=47400, episodic_return: -822.3888549804688
global_step=47600, episodic_return: -1079.6390380859375
global_step=47800, episodic_return: -1238.81201171875
global_step=48000, episodic_return: -1047.1553955078125
global_step=48200, episodic_return: -1302.2791748046875
global_step=48400, episodic_return: -995.0313110351562
global_step=48600, episodic_return: -889.3692626953125
global_step=48800, episodic_return: -1395.6383056640625
global_step=49000, episodic_return: -1020.891845703125
SPS: 101
global_step=49200, episodic_return: -1001.759033203125
global_step=49400, episodic_return: -1145.8695068359375
global_step=49600, episodic_return: -1181.94921875
global_step=49800, episodic_return: -1350.015625
global_step=50000, episodic_return: -1140.197021484375
