global_step=45400, episodic_return: -1016.7276611328125
global_step=45600, episodic_return: -882.322509765625
global_step=45800, episodic_return: -780.2877807617188
global_step=46000, episodic_return: -1295.0084228515625
global_step=46200, episodic_return: -1022.9678955078125
global_step=46400, episodic_return: -1022.4790649414062
global_step=46600, episodic_return: -1048.97900390625
global_step=46800, episodic_return: -1233.71337890625
global_step=47000, episodic_return: -1011.7666625976562
SPS: 117
global_step=47200, episodic_return: -1136.4559326171875
global_step=47400, episodic_return: -1032.24560546875
global_step=47600, episodic_return: -1094.267578125
global_step=47800, episodic_return: -976.6583251953125
global_step=48000, episodic_return: -1030.8131103515625
global_step=48200, episodic_return: -996.9534912109375
global_step=48400, episodic_return: -1084.3116455078125
global_step=48600, episodic_return: -899.2875366210938
global_step=48800, episodic_return: -1222.6265869140625
global_step=49000, episodic_return: -1015.9688720703125
SPS: 117
global_step=49200, episodic_return: -1029.0882568359375
global_step=49400, episodic_return: -1136.2244873046875
global_step=49600, episodic_return: -995.799560546875
global_step=49800, episodic_return: -995.7162475585938
global_step=50000, episodic_return: -1000.5027465820312
global_step=50200, episodic_return: -1001.052734375
global_step=50400, episodic_return: -1011.16552734375
global_step=50600, episodic_return: -987.20361328125
global_step=50800, episodic_return: -1037.7052001953125
global_step=51000, episodic_return: -1159.788330078125
global_step=51200, episodic_return: -902.4760131835938
SPS: 116
global_step=51400, episodic_return: -1112.000244140625
global_step=51600, episodic_return: -1030.80859375
global_step=51800, episodic_return: -986.4974975585938
global_step=52000, episodic_return: -1019.6012573242188
global_step=52200, episodic_return: -1059.396240234375
global_step=52400, episodic_return: -987.264892578125
global_step=52600, episodic_return: -1037.559814453125
global_step=52800, episodic_return: -907.680419921875
global_step=53000, episodic_return: -916.1841430664062
global_step=53200, episodic_return: -1013.7763671875
SPS: 115
global_step=53400, episodic_return: -1017.227294921875
global_step=53600, episodic_return: -904.77001953125
global_step=53800, episodic_return: -1275.7818603515625
global_step=54000, episodic_return: -1175.6236572265625
global_step=54200, episodic_return: -1245.2403564453125
global_step=54400, episodic_return: -1081.0225830078125
global_step=54600, episodic_return: -1109.5380859375
