
global_step=55200, episodic_return: -1367.046875
SPS: 59
global_step=55400, episodic_return: -978.7769165039062
global_step=55600, episodic_return: -1068.9893798828125
global_step=55800, episodic_return: -1029.1129150390625
global_step=56000, episodic_return: -1439.69677734375
global_step=56200, episodic_return: -1645.2208251953125
global_step=56400, episodic_return: -1156.9542236328125
global_step=56600, episodic_return: -915.7650146484375
global_step=56800, episodic_return: -1075.11474609375
global_step=57000, episodic_return: -1017.0416870117188
global_step=57200, episodic_return: -1024.03466796875
SPS: 59
global_step=57400, episodic_return: -1027.5992431640625
global_step=57600, episodic_return: -1438.3280029296875
global_step=57800, episodic_return: -1001.866455078125
global_step=58000, episodic_return: -1196.32275390625
global_step=58200, episodic_return: -1171.55615234375
global_step=58400, episodic_return: -1099.95751953125
global_step=58600, episodic_return: -1034.806884765625
global_step=58800, episodic_return: -1005.1116943359375
global_step=59000, episodic_return: -1404.0865478515625
global_step=59200, episodic_return: -1806.4508056640625
SPS: 59
global_step=59400, episodic_return: -953.5001220703125
global_step=59600, episodic_return: -1099.83056640625
global_step=59800, episodic_return: -1073.109375
global_step=60000, episodic_return: -1050.9710693359375
global_step=60200, episodic_return: -1097.2529296875
global_step=60400, episodic_return: -1115.1578369140625
global_step=60600, episodic_return: -962.9319458007812
global_step=60800, episodic_return: -1163.3377685546875
global_step=61000, episodic_return: -1169.3590087890625
global_step=61200, episodic_return: -1023.4530029296875
global_step=61400, episodic_return: -1450.1412353515625
SPS: 59
global_step=61600, episodic_return: -1574.6090087890625
global_step=61800, episodic_return: -1062.7674560546875
global_step=62000, episodic_return: -1415.4041748046875
global_step=62200, episodic_return: -1115.5787353515625
global_step=62400, episodic_return: -1685.1688232421875
global_step=62600, episodic_return: -997.9755249023438
global_step=62800, episodic_return: -1144.618408203125
global_step=63000, episodic_return: -1162.29541015625
global_step=63200, episodic_return: -1071.243896484375
global_step=63400, episodic_return: -906.6490478515625
SPS: 59
global_step=63600, episodic_return: -1002.160888671875
global_step=63800, episodic_return: -1154.173583984375
global_step=64000, episodic_return: -1567.0523681640625
global_step=64200, episodic_return: -978.7106323242188
global_step=64400, episodic_return: -1065.9049072265625
global_step=64600, episodic_return: -1212.239013671875
global_step=64800, episodic_return: -1610.55078125
global_step=65000, episodic_return: -1086.141845703125
global_step=65200, episodic_return: -1732.4337158203125
global_step=65400, episodic_return: -1012.4613647460938
SPS: 59
global_step=65600, episodic_return: -924.2879638671875
global_step=65800, episodic_return: -996.2194213867188
global_step=66000, episodic_return: -1063.3836669921875
global_step=66200, episodic_return: -1129.578857421875
global_step=66400, episodic_return: -1714.3875732421875
global_step=66600, episodic_return: -1175.1763916015625
global_step=66800, episodic_return: -1128.404296875
global_step=67000, episodic_return: -1568.30712890625
global_step=67200, episodic_return: -1009.0371704101562
global_step=67400, episodic_return: -1280.4400634765625
SPS: 59
global_step=67600, episodic_return: -1043.6314697265625
global_step=67800, episodic_return: -1335.48974609375
global_step=68000, episodic_return: -1123.5380859375
global_step=68200, episodic_return: -1120.6160888671875
global_step=68400, episodic_return: -963.14111328125
global_step=68600, episodic_return: -1070.4786376953125
global_step=68800, episodic_return: -1031.474365234375
global_step=69000, episodic_return: -1238.457763671875
global_step=69200, episodic_return: -1137.5650634765625
global_step=69400, episodic_return: -1155.4345703125
global_step=69600, episodic_return: -1230.011962890625
SPS: 59
global_step=69800, episodic_return: -1084.0618896484375
global_step=70000, episodic_return: -1163.0386962890625
global_step=70200, episodic_return: -1503.692138671875
global_step=70400, episodic_return: -1171.4871826171875
global_step=70600, episodic_return: -1637.2684326171875
global_step=70800, episodic_return: -1494.6448974609375
global_step=71000, episodic_return: -891.3421020507812
global_step=71200, episodic_return: -1126.2587890625
global_step=71400, episodic_return: -925.32568359375
global_step=71600, episodic_return: -1023.2738647460938
SPS: 59
global_step=71800, episodic_return: -1177.4571533203125
global_step=72000, episodic_return: -1285.095703125
global_step=72200, episodic_return: -1077.2171630859375
global_step=72400, episodic_return: -1316.6075439453125
global_step=72600, episodic_return: -1015.7571411132812
global_step=72800, episodic_return: -1275.196533203125
